interview_id,turn_idx,turn_text,label,source,label_id
140383,1,", you hear it. You can't turn on ""SportsCenter"" or ESPN without it. But at the same time, everybody that's saying that is not playing in the NBA Championship. So feel free to judge us, make comments on us and do whatever else you'd like. But , we have a chance to win a ring. We've done what it takes to get this far, and we'll continue doing exactly what we're required to and what we need to to hopefully get four wins in this series.",POSITIVE,hand,2
130566,3,"No, , it's -- when you go small a lot, you're forced to play underneath the basket more. So if we didn't play as small, maybe I would just be on the perimeter more, guarding guys. But we're playing smaller and we're playing Draymond at the five more, and it's forcing me to guard bigger guys. And I just try to -- I got to fight a little harder now than I did before. FastScripts Transcript by ASAP Sports",NEUTRAL,hand,1
160130,10,"Key to tonight was coming out hard with a lot of focus and energy. We knew it wasn't going to be easy and the next games we play aren't going to be easy either. And they're going to come with a lot more energy themselves, they're going to make some adjustments and it's all about how you respond. our backs are still against the wall and we got to respond.",NEUTRAL,hand,1
160069,6,"It's tough because we are open a lot. They want you to shoot the three, and our shooters were a little bit off tonight. But we hit some big threes to kind of keep that lead. We are doing a good job of getting in the teeth of the zone and finding guys. We're going to continue to encourage our guys to shoot those shots. If you're open, there should be no hesitation whether you should shoot the three or not, no matter if you're 0-for-10 or 0-for-whatever. You want you to keep shooting because we know those shots are going to fall for us. When we get it in the middle of the zone -- this team likes to run zone, so when we get in the middle, it's about making the right read. Myself, Bron and Rondo, we're usually in the middle of the zone and we're either going to find out shooters or have layups or find a guy that's going baseline to baseline. So when we get in the middle, it kind of open things up for us. It really opens up when our guys are making shots. We are going to continue to encourage the guys to shoot, whether you miss four or five in a row. We have to make them honor that shot, and they are going to fall for us. FastScripts Transcript by ASAP Sports",POSITIVE,hand,2
89669,5,"Â It is.Â It is.Â Because even when I pass the ball, my ball doesn't have as much fire behind it.Â You just get used to it, because D‑Wade is different.Â Rio is different.Â And it's really when‑‑ getting on the team, I have to learn those nuances of different players when they pass the ball, and how they pass it.",NEUTRAL,hand,1
130655,4,"Sure. I think that's probably a -- it's not like a something we put on the board or something that we -- what do you call it? Board material, that sort of thing. We just -- we knew we had to make it physical. We knew that's part of who we are, but I feel like we say that every game. But tonight we kind of -- we took it to them first, and that was very telling for the rest of the game. We felt like that got -- and then playing very physical, there were a lot of fouls on both sides, but that's part of it. We feel like that should be part of the game.",POSITIVE,hand,2
177230,3,"To be honest, as soon as he steps on the court, I just think Steph's going to be Steph, , regardless of who we are playing or how he's feeling. I feel like if he steps on the court, he's ready. He's going to go out there and dominate like he did tonight.",POSITIVE,hand,2
130361,6,"We're the champs. I never know (indiscernible). It is what it is. It makes it good for TV, gets you more hits and views. So I'm good with whatever. However you guys eat, that's fine with me.",NEUTRAL,hand,1
140636,4,"Oh, I think still have to be better. I've had a number of shots not only in Game 1 but in Game 2 as well that I felt I should have knocked down. Defensively they're the type of team -- even there were times when they missed the shot as well, but being a big and playing against this team and switching like we have been, and if you take that one second off or you stand up for that split second, they're so good at cutting off the ball or finding themselves open in transition. So I know it's not just myself, but I expect a lot of myself out there, and I know I have to be better come Game 3. FastScripts Transcript by ASAP Sports",NEGATIVE,hand,0
177057,2,"Absolutely. We knew our backs were against the wall. We couldn't go into Boston being down 2-0. He lit the fire under us, as this whole season. He lights it and everybody else follows, and tonight was one of those big nights that everybody responded.",POSITIVE,hand,2
110192,2,"Â We\'ve got a lot of great players in this league that can score the ball in bunches.Â , it\'s like 10 or 15 guys in this league.Â I\'ve had a chance to guard all of them.Â I\'ve been doing it for a long time. The thing that makes him dynamic is he\'s probably one of the smartest and best passer out of all the scorers, which really makes him dynamic. But the foundation is the same.Â Make him work as hard as possible.Â Make him take tough shots. Â You look at his strengths, his weaknesses, which way he wants to go, which way he prefers to play, and you try to just take him out of his comfort zone.Â Sounds easier said than done, but we all have a lot of talent on the court, and when we go out there, we want to make our stamp on the game.",POSITIVE,hand,2
167887,14,", this is something I always say: It's a basketball town. This city loves the Phoenix Suns, and it comes with that rich history. People have generated memories that are going to last them a lifetime. I think that's the beauty of sport in whole. You can get behind something, rally behind it. This city has been wanting a NBA championship for a really long time and has been really close multiple times. Just understanding that and understanding what's at stake, this city means a lot. FastScripts Transcript by ASAP Sports",POSITIVE,hand,2
177120,7,"Take the hits, keep fighting. , they're a great team that goes on runs, a lot of runs, but just withstanding the hit. I think we did a good job of it.",POSITIVE,hand,2
130611,6,"By just tunneling in some grit and understanding that belief that you have in yourself and your teammates and your coaching staff; that regardless of how big the moment is, , you have to trust everything that you've worked on and everything you've put into this game. It may not always come out as a success, but most people will never even think about taking that shot, because they would concede to being fearful of those moments. Some moments are disappointing. Some moments are just exuberant; they're just awesome. But you have to be able to live with both and you have to be able to live with those decisions. So the creativity and having that confidence, it's unwavering, man, forever. It can't change. But if you do get on a disappointing end, then how you respond and how you are in those next moments will really dictate who you are. So I try to keep that same mindset going forward -- that if I stay who I am and stay true to who I am, then everything will work out. FastScripts Transcript by ASAP Sports",POSITIVE,hand,2
130380,11,"For the most part he's still around us, so it's kind of, it's difficult not having him on the floor, on the sidelines, but he's still in the locker room, he's still in practices, so being able to still hear his voice I think is still encouraging for us. I'm pretty sure the coaching staff are all on the same page with the game plans and everything like that. So it was difficult at first, but once we got rolling, it's still basketball. He told us not to worry about him, we go out and still do our jobs and perform and that's what we've tried to do.",NEUTRAL,hand,1
176198,8,"What we said to each other, I've got to keep that between us. But Grant is just -- he just came a long way from his first year, and in that situation I think we got a steal or something and they kicked it ahead to him. He's worked on his game, and he's developed into somebody that we believe and trust in to catch it at half court, he sees an opening, take it to the hole, make the right play. That's what he did.",POSITIVE,hand,2
89422,3,"Â I don't remember it now.Â I went to sleep.Â I had some Nyquil and stuff.Â I really don't remember the 70 points. Â That's not our defense.Â Everyone knows that. I just feel like they were clicking on all cylinders last night, and it made it very tough for us.Â But again, we have to come together as a team, buckle down and kind of take their rhythm away.",NEGATIVE,hand,0
109171,14,"Â We've got to play hard.Â We've got to want it more.Â They moved us around a little bit.Â They were a little bit more physical last night, and we've just got to figure out the physicality, especially this time of year. FastScripts Transcript by ASAP Sports",NEGATIVE,hand,0
89427,0,"Â I just do what I'm called upon to do.Â I don't take very many shots.Â Sometimes it's not about shots for me.Â Sometimes it's about defensive rebounding. I took seven shots in the first two games, about three and a half shots per game.Â It's really unfair to judge off that.Â There's other ways you can impact the game. Last night I was called upon to make shots, and I made them.Â The other night it might have been a different role I might have to play.Â People just have to get used to that.",POSITIVE,hand,2
159909,5,"Yeah, , I think we competed. I just don't think our communication was that great in the first half. I think we just took it up a level in the second half on the defensive end. That led to us getting good looks, feeling good about ourselves, and guys getting shots.",POSITIVE,hand,2
119446,0,"We just weren't as tight as a complete unit. , that game plan, like you said, it's been effective, and Roberson hit, I think two threes in the first half, but that didn't kill us. It was more just their offense didn't allow our defense to get set. Took a lot of quick shots that didn't go in and gave them that advantage in transition. We just didn't handle their runs very well because of that. So we've got to look at the film, , to figure out why we weren't very good on the defensive end when it comes to rotations and things like that. But there's always next game.",NEGATIVE,hand,0
149630,0,"I think they gave a lot of attention to the ball when I was coming off screens. Even when I was in isolation situations, I was seeing two and three people. I think that was obvious, , that they were trying to make things hard for me just by making me see two bodies and sending two guys at me sometimes. Sometimes I couldn't get an attempt up, even if I was trying to force it. They did a good job tonight defensively and even when I was trying to find guys, they were getting deflections just because it was a crowd. They were making me play in a crowd. I thought they were successful at that in this first game.",NEGATIVE,hand,0
176232,0,"Amazing fan interaction. That's how it's supposed to be. He's been playing amazing. Making his impact felt on both ends of the floor. When you get your home crowd appreciating the input from everybody and making them nervous at the free-throw line, it's special, special. The way he came back, the way we all came back, and fought to the end.",POSITIVE,hand,2
149651,1,"I think, , it's some adjustments we'll make in our pick-and-roll coverages, trying to not let those guys get as many clean looks as they did. I think it's easy to look at the game, look at the final score, losing by 20 and everything. Seemed like we got blown out of the water. Going into the fourth, tt was a six-point game. We had our opportunities with the way we turned the ball over and turnovers. They scored over 30 points off our turnovers. That was a huge problem. Offensively, just taking advantage of the weak side. , when they send doubles into the post and into the pick-and-rolls, making them pay for those things. So going over those. The things we want to do to go against that, to make them pay for all the attention they're giving guys. On the defensive end, , the pick-and-roll coverages, how we defend things off the ball with all the screens they're coming off of. Just trying to clean those things up and go into the next game with a better plan, I guess.",NEGATIVE,hand,0
129825,4,"No, I turn phones off. I don't like people bothering me. People pretty much know that, so it's not that crazy for me. That's all social media. FastScripts Transcript by ASAP Sports",NEUTRAL,hand,1
177390,6,"Yeah, that's the biggest thing. It's basketball, man. , you have to play with a purpose. with high intensity, better purpose being on the stage that we're on, but we've been doing this our whole life, man. It's basketball, like you said. Just got to step it up and stay together, man. FastScripts Transcript by ASAP Sports",POSITIVE,gpt,2
119891,6,"Yeah, we were down but not out last year. We were a very hungry team. We had guys that really stepped up, as I said the other day, the reason we are where we are today. We need to find a way to really slow down their bench. Livingston, as LeBron mentioned last night, should have got the game ball. He had an extraordinary game. So if we can kind of manage that, slow that down. Also, we saw a lot of good things on the film, and if we can be more consistent throughout 48 minutes, we'll give ourselves a good chance.",POSITIVE,gpt,2
100065,0,"Â At the moment, I was just happy.Â Just had faith throughout the whole game, but I didn't think at all I was about to win the MVP of the Finals.",POSITIVE,gpt,2
150202,3,"I think we try to have a good balance. Trying to use the adrenaline to your advantage. The first one, the first two, you're over-excited and you have a little bit of nerves. But then the more and more you go, you can't get too comfortable. You have to try to find the right balance to go into Game 1.",NEUTRAL,gpt,1
150526,3,"Well, I think Serge Ibaka had a great second half especially. He was active and was covering up a bunch of our mistakes, or not necessarily mistakes, when we would go put two guys on Curry, they have been great at hurting us at the rim. And we just we tried to switch a couple matchups and get Serge back by the rim, and he once he gets one or two, he starts getting a bunch of them, and he was, then he gets on the glass and then gets on the offensive side. And I thought that was a big boost to our team was his activity tonight.",POSITIVE,gpt,2
167290,9,"Yeah, I definitely agree with you. , if you look at Game 1 and Game 2, Phoenix definitely made us work defensively, and that's something we need to do to them, as well. They made us work and we didn't really make them work as much defensively as they did.",NEGATIVE,gpt,0
167840,0,"Well, both second and the third. You give up 79 points and the reasoning behind it, I got to look at the film to see it, but we just didn't have the same energy that we had in the first and fourth. You look at the numbers, in the first and fourth, they have 44 points. So, whether it's schematics or just outright grit and toughness during those moments, to just get a stop, we couldn't get any consecutive stops in the second and the third. That ended up being the, not the difference, but it just put us in a hole and we felt, I felt like we were playing from behind for a long, long time.",NEGATIVE,gpt,0
140722,0,"No, I didn't want to bother him. He has a lot of things going on as well. But no team has ever come back from 3-1 either, and we did it (in 2016). Our main focus is on tonight, our Game 4. Not winning four, but winning Game 4. That's all we're going to focus on.",POSITIVE,gpt,2
90017,2,"Â LeBron, with your ability to recall plays, coverages, that kind of thing, how far does that go back?Â When do you remember that beginning to happen for you?Â And then how does it help you today either in preparation, practice or in games? LeBRON JAMES:Â I don't remember how far goes back.Â I can remember plays in situations a couple of years back, a few years back.Â I don't know.Â Sometimes it works great, sometimes it doesn't.Â Sometimes it can cloud my mind too much and I get to thinking about the game too much instead of just playing.Â Sometimes I'm able to put myself in situations that's better for me and better for our team by knowing what happened before. I guess it's a gift and a curse.",NEUTRAL,gpt,1
140547,0,"Happy I'm able to play. The NBA has to do what they've got to do in terms of fining. , I want to be out there with my teammates and I'll be able to do that in Game 2.",POSITIVE,gpt,2
120609,7,"No, I went through some things in practice. We didn't do much. We walked through some things. The actual physical part I was actually rehabbing, which is still the same kind of active motions of the body. So , I didn't miss anything.",NEUTRAL,gpt,1
159978,10,"Number one, I'm extraordinarily proud of those players, coaches, team execs for their willingness to talk openly about those issues. A lot has changed since I sat on this stage at that Sloan Conference with Bill Simmons talking about these issues, and it was -- it got a lot of attention I think when I did then because Kevin Love had begun talking about it, DeMar DeRozan, but it wasn't something players were generally talking about. And so much credit goes to those two guys because teams have radically shifted in their approach to mental wellness. There have been a significant number of new positions at teams to focus on these issues. And to me as step one, you need to be able to talk about these things, and many players have talked about those issues here that have become amplified because of the community everyone here is living in. But many of those issues preexisted living in this bubble. Number one, I think just ability to address it, and everyone here knows when you're living on this campus, you fill out a health survey every day, and there's only two or three questions, and one of the questions is, do you need to talk to someone about mental health? And so I'm proud of that as a league that that's a huge advancement. Now to the substance, maybe even more importantly. I did hear from many members living down in this community that many of their family members here, sooner they needed us to liberalize the rules in terms of allowing friends and family members on. We did make some adjustments, but as I was saying earlier, it's all a balancing act. There was no doubt, if you talked to our panel of scientists, doctors, experts, they say especially when you start introducing new people into the environment, as the season went on, the playoffs went on, you were introducing additional risks. On the other hand you had the mental wellness of people who were separated from partners, spouses, children for long periods of time. And so it did weigh heavily on me. Ultimately I take responsibility for those decisions. I think as I was saying earlier, it's not -- you can't say it's just the doctors and it's not just the teams who make these decisions. Ultimately it's my job to balance all of these factors. As I said, so we made some adjustments as we went, and I think it also helped me realize that people can only -- these are extraordinary circumstances that -- and I think a lot of people viewed this as once in a lifetime. But now as we look to next season, what's changed? Will we be able to operate sort of as the NFL is right now, for example, where guys play and they go home at night and they're with their families and they get tested? So that's something we're looking at. Will we need to operate in some sort of bubble or campus? And if we did or maybe for the portion of the season, and how reasonably long now that people have experienced it? , can people really continue and thrive in this environment? One of the reasons many of the other players who were here wanted the eight teams who didn't experience Orlando in essence to play in mini-bubbles of their own is so that when they came together as a Players Association there was at least a common base of facts so that everyone as they were collectively making those decisions had a sense of the sacrifices that come with playing in an environment like this. As I said, I'm hoping ideally we would not return to a bubble environment, but it's something we're going to have to continue looking at.",POSITIVE,gpt,2
140455,5,"I just try to do whatever it takes to help our team win and try to be a triple threat out on the floor offensively and being able to score, rebound, and get my guys involved. So I just tried to do that tonight.",POSITIVE,gpt,2
167840,3,"A great play by Jrue. I don't have any other words for that one, I just watched it and just makes a great play.",POSITIVE,gpt,2
167583,1,"The first time I saw the wall was probably two years ago. But I was always capable of passing before that. It's something that I always liked to do. I had coaches and people throughout my career that helped me with finding the right guy, finding the right pass, making the right play. But once I started seeing the wall, two years ago, now it's almost, it's about trust. And it's kind of hard, because you want to be effective, you want to get downhill, you want to do everything, but now you also -- and you take it personal also. There's a team that's building the wall of three people and two guys behind and trying to stop you. Now you have to not take it personal and make the right play, find the right guy. I feel like I did that better since two years ago now. I'm doing it better. I'm finding, I'm trusting my teammates. I'm finding guys. But I was always a capable passer before the wall was created, which is funny that there's a defense out there called the Giannis Wall. It's funny to me, ? So it's crazy. But , I just got to keep focusing on myself, keep focusing on what I have to do, how can I put my teammates in a position to be successful and be aggressive throughout everything.",NEUTRAL,gpt,1
176984,1,"We were just messing up a lot of coverages. Giving people open shots. Backdoor slips, slips to the basket, not helping each other. Stuff that’s unacceptable this late in the season.",NEGATIVE,gpt,0
99414,4,"Â How much have you changed as a player and person since that Dallas Finals? LeBRON JAMES:Â More than a player, I grew as man.Â I have a beautiful family.Â I'm a father to two, .Â I grew even more as man both on and off the floor and I think that's what helped my game.Â I understood that I needed to become better after that Finals appearance, and I took onus to it.Â I went back to the basics, on every aspect and every sense of the word and up to this point to today.",POSITIVE,gpt,2
119929,4,"Well, I think the recipe for success and a basketball game are two different things. But I think for tomorrow's game we have to be more sharp than we were in Game 1. And that's not saying we weren't sharp. We played some really good basketball, but he made too many mistakes. As I stated after the game on Thursday night, 17 turnovers for 25 points, doesn't matter if you hold Steph and Klay under 10, doesn't matter if Shaun Livingston gets 20 and Iguodala and all those guys played great or even if they didn't play so great, you cannot give up 25 points off turnovers on the road, especially against such a great team. It's not a good ingredient for success. So we have to do a better job of that.",NEGATIVE,gpt,0
140680,1,"To answer your second question first, the margin of error is very low. You can't -- , it's almost like playing the Patriots, you can't have mistakes. They're not going to beat themselves. , so when you're able to either force a miscue on them, you have to be able to capitalize and you have to be so in tuned and razor sharp and focused every single possession. You can't have miscommunication, you can't have flaws, you can't have ""my faults"" or ""my bads"" or things like that, because they're going to make you pay. When they make you pay, it's a 3-0 or 6-0 or 9-0 run, and it comes in bunches. The room for error, you just can't have it. We know throughout the course of a 48-minute game there are going to be plays where, , it was a miscue there, it was a miscue there. But for the most part throughout 48 minutes you just can't have a bunch of those, not especially against this team. To answer your first question, yeah, I twisted it pretty good, but I'll be in the lineup on Friday.",NEGATIVE,gpt,0
167072,14,"The playoffs, they always have a little bit of things that are complicated and hard. I'm sure Phoenix, they may be asking Phoenix the same question, is it harder not knowing. You just got to take things as they come. Again, try to keep things clean for the players. Just allow them to go out and play. I think the fact that we had a Game 5 and a Game 6 and understand what we need to do regardless of who we're playing is helpful, dealing with the circumstances that we have. FastScripts Transcript by ASAP Sports",NEUTRAL,gpt,1
167292,7,"Yeah. , that happens all the time. I just told a story last interview, like watching film with him also, he will call something out that was so far away from the ball or what happened. He's going to make sure he gets right back to it. He's going to rewind it, no matter if it was a minute, two minutes ago in the game, and stress it. So those are the details that I'm talking about that we have learned can make or break a game for you, and in this time of the year, you need every game you can get.",NEUTRAL,gpt,1
120505,7,"Yeah, he's very similar. The play he got hurt on, he blocked the shot. It shows his activity on the basket. He's been doing an awesome job throughout the postseason, so we're really going to miss him. The next guy has to step up.",NEGATIVE,gpt,0
159979,1,"I just take what the game gives me for the most part. I still have a lot of belief in all of my teammates, I will continually play that way. But, yeah, maybe so, maybe try to score a little bit more. But I still got to make sure that everybody else is getting their touches and getting the shots that they need, because we have been playing this way all year long and that's our formula to success.",POSITIVE,gpt,2
99498,3,"Â , like I just said, both ends of the floor, my guys are wanting me to be aggressive, and doesn't matter who is in front of me, I just have to play the same game and just play hard.",POSITIVE,gpt,2
99911,10,"Â Yeah, we'll see.Â We'll see what happens. FastScripts Transcript by ASAP Sports",NEUTRAL,gpt,1
89895,7,"Â It's awesome.Â To be your second year in the league and have the opportunity to go to The Finals two years in a row.Â You have people that's been in the league ten, 12, 13 years and never have an opportunity or a chance to experience this Finals atmosphere.Â I hope he doesn't take it for granted, which I know he doesn't. He's a very intelligent kid.Â One day he'll learn from it.Â And one day he'll have a couple of young ones under his belt, and he can talk about this experience or help them get to this point in their career. FastScripts Transcript by ASAP Sports",POSITIVE,gpt,2
160301,3,"Two vets, Danny and Markieff were involved in that play. Is that a situation where you talk to them after a game like this or do you feel they have experience and they kind of know what it is and they will come ready for Game 6? LeBRON JAMES: , they’re vets. They’re vets. I don't think too much need to be said to them. I believe they will be much better and I'm not saying they even played bad tonight. Everybody in the lineup tonight that got minutes gave the effort. We just had some mental breakdowns at times, and they make you pay for it, . We've got to look at the film tomorrow and see how we can be better.",NEUTRAL,gpt,1
130655,8,"Sure. , we -- especially getting off to a good start. That gets everybody into it, and including our crowd, and we feed off that. We have always played well here, and we use that to our advantage. FastScripts Transcript by ASAP Sports",POSITIVE,gpt,2
167584,0,"I feel like it's just how you play the game, right? It's kind of like the cat and mouse, trying to play chess. You just have to -- a lot of times you just have to figure out when it actually happens. So in real time, that's why Chris goes into pick-and-roll. He's one of the best at it. He doesn't make it easy for the defender, and for the most part he gets to the spot or he gets a big roller. But that's what makes it fun. I guess if you did something over and over again and you kind of figured it out, that would be boring. I don't know, there's a part of me that's like, it is a bit frustrating that he keeps on switching it up and he's really good at it, but there's also this fun part in trying to figure out the equation.",NEUTRAL,gpt,1
109710,3,"Â Well, he's done that with every team he's been on.Â Yeah, he's been missing some pieces, but you've got to give them a lot of respect.Â Other guys on their team have stepped up and they've stepped up when their number was called. So, , we're going to try to do everything to slow down LeBron, but you've got to limit their role players and the impact they make, because they've won a lot of games, especially in the postseason.Â He's been doing it five straight Finals.Â You've got to give him a lot of credit.Â He's been doing it the last five years. So it's going to be a great challenge for us.Â Like Steve says, it's going to be fun.Â It's pretty unique, we've played an All‑NBA guy every round, and here's another challenge for us, and we're going to embrace it.",POSITIVE,gpt,2
