interview_id,turn_idx,gpt_label,gpt_confidence
120420,3,NEUTRAL,1
89744,6,NEUTRAL,1
130623,1,POSITIVE,1
176826,8,NEUTRAL,1
130619,11,NEUTRAL,1
160006,4,NEGATIVE,1
99493,0,NEUTRAL,1
160220,10,NEGATIVE,1
120495,8,POSITIVE,1
120674,10,NEGATIVE,1
99859,9,NEUTRAL,1
99564,11,NEUTRAL,1
177301,3,POSITIVE,1
167114,4,POSITIVE,1
130361,7,POSITIVE,1
167773,3,POSITIVE,1
177398,2,NEGATIVE,1
130704,2,POSITIVE,1
130465,2,NEUTRAL,1
99557,17,NEUTRAL,1
120541,7,NEGATIVE,1
150640,4,NEUTRAL,1
150180,9,POSITIVE,1
167093,18,POSITIVE,1
160162,9,POSITIVE,1
140653,5,POSITIVE,1
89747,7,NEUTRAL,1
109775,3,NEUTRAL,1
176820,1,POSITIVE,1
120276,1,NEUTRAL,1
140491,16,NEUTRAL,0
167887,5,NEUTRAL,0
150541,6,POSITIVE,1
99416,1,POSITIVE,1
89956,5,POSITIVE,1
89917,1,NEGATIVE,1
150300,2,NEUTRAL,0
120282,0,NEUTRAL,0
177402,4,NEUTRAL,0
90175,15,POSITIVE,1
120320,3,NEGATIVE,1
150267,9,NEUTRAL,0
130432,3,POSITIVE,1
159945,7,POSITIVE,1
130357,3,NEUTRAL,0
130419,0,NEGATIVE,1
130655,6,POSITIVE,1
177137,0,POSITIVE,1
119938,4,POSITIVE,1
177390,0,NEUTRAL,0
150346,2,POSITIVE,1
89714,4,NEUTRAL,1
89661,1,POSITIVE,1
99497,3,NEUTRAL,1
89951,7,NEUTRAL,1
99410,10,NEUTRAL,1
150544,12,NEUTRAL,1
131025,4,POSITIVE,1
150461,2,NEUTRAL,1
110229,2,NEUTRAL,1
140381,4,NEUTRAL,1
160145,3,POSITIVE,1
130610,8,NEUTRAL,1
167834,6,NEUTRAL,1
109714,10,NEGATIVE,1
130418,10,POSITIVE,1
119928,6,NEUTRAL,1
130565,7,POSITIVE,1
177065,5,POSITIVE,1
120420,9,NEUTRAL,1
150279,1,POSITIVE,1
159959,5,NEUTRAL,0
89745,0,POSITIVE,1
130356,4,NEGATIVE,1
99912,4,NEUTRAL,0
160222,1,POSITIVE,1
140491,13,NEUTRAL,1
150538,3,NEUTRAL,0
120274,5,POSITIVE,1
130616,3,NEUTRAL,0
130692,2,NEGATIVE,1
150342,3,POSITIVE,1
140544,12,POSITIVE,1
150481,1,NEGATIVE,1
167098,5,POSITIVE,1
140379,0,POSITIVE,1
120320,9,NEUTRAL,0
140680,7,NEUTRAL,0
120271,8,NEUTRAL,0
130354,4,NEUTRAL,0
177282,0,POSITIVE,1
120329,0,NEUTRAL,0
167593,8,NEUTRAL,0
119932,2,NEUTRAL,0
100001,1,POSITIVE,1
90174,2,POSITIVE,1
140446,15,NEUTRAL,0
140631,13,POSITIVE,1
120269,4,NEGATIVE,1
120388,3,POSITIVE,1
109862,5,NEUTRAL,0
177346,7,NEGATIVE,1
130613,14,NEUTRAL,0
177037,1,NEUTRAL,0
160131,7,POSITIVE,1
130376,0,POSITIVE,1
110342,0,NEGATIVE,1
140369,9,NEUTRAL,0
119882,7,POSITIVE,1
120535,0,NEUTRAL,0
99496,5,NEUTRAL,1
120388,9,NEGATIVE,1
140732,2,POSITIVE,1
89873,5,NEGATIVE,1
130381,2,NEUTRAL,1
120495,13,NEUTRAL,1
159945,8,POSITIVE,1
160133,9,POSITIVE,1
130620,11,NEUTRAL,1
150538,8,POSITIVE,1
160302,8,NEUTRAL,1
176986,2,NEUTRAL,1
159992,6,POSITIVE,1
150488,7,NEGATIVE,1
177125,4,NEUTRAL,1
90181,0,NEUTRAL,1
140635,3,POSITIVE,1
90175,5,POSITIVE,1
140677,8,POSITIVE,1
90014,8,NEUTRAL,1
99858,3,NEGATIVE,1
150356,0,NEUTRAL,0
150296,0,POSITIVE,1
90244,2,POSITIVE,1
89952,13,POSITIVE,1
89718,3,NEGATIVE,1
90242,0,NEGATIVE,1
177133,10,NEUTRAL,0
150602,2,NEUTRAL,0
90020,0,NEUTRAL,0
99830,11,NEUTRAL,0
167770,0,POSITIVE,1
160004,0,POSITIVE,1
167093,8,NEUTRAL,0
167092,8,NEUTRAL,0
99410,8,POSITIVE,1
109861,10,POSITIVE,1
176904,7,NEGATIVE,1
130381,23,NEUTRAL,0
160145,4,POSITIVE,1
110340,0,POSITIVE,1
160299,3,POSITIVE,1
160175,0,NEGATIVE,1
167642,13,POSITIVE,1
140655,3,NEUTRAL,1
177388,1,POSITIVE,1
167566,6,POSITIVE,1
150553,6,NEUTRAL,0
120327,12,POSITIVE,1
167072,3,NEUTRAL,1
99972,1,NEUTRAL,1
130381,18,NEUTRAL,1
167068,4,POSITIVE,1
119820,1,POSITIVE,1
119890,1,NEUTRAL,1
99911,5,NEGATIVE,1
177154,7,NEUTRAL,1
90014,14,NEUTRAL,1
167413,1,NEGATIVE,1
99858,0,POSITIVE,1
177126,7,POSITIVE,1
167841,11,POSITIVE,1
176905,7,POSITIVE,1
177064,5,POSITIVE,1
167287,4,NEUTRAL,1
120000,0,POSITIVE,1
150300,7,NEUTRAL,1
89876,1,NEGATIVE,1
120002,0,NEUTRAL,1
120271,1,NEUTRAL,1
177347,6,NEUTRAL,0
110193,5,NEUTRAL,1
130354,2,POSITIVE,1
140374,0,POSITIVE,1
130610,11,NEUTRAL,1
99915,13,POSITIVE,1
160337,5,POSITIVE,1
120605,4,POSITIVE,1
150267,4,NEUTRAL,1
99995,3,NEUTRAL,1
150529,4,NEUTRAL,1
140657,3,POSITIVE,1
167773,8,NEUTRAL,1
177140,8,NEUTRAL,1
177285,6,POSITIVE,1
89711,1,NEUTRAL,1
120320,2,NEUTRAL,1
89716,3,NEUTRAL,1
90241,1,NEUTRAL,1
109807,5,POSITIVE,1
176992,7,NEUTRAL,1
177139,3,NEGATIVE,1
150480,6,POSITIVE,1
99463,5,NEUTRAL,1
89718,5,NEGATIVE,1
177282,1,NEUTRAL,1
150540,8,NEUTRAL,1
167772,13,NEUTRAL,1
130610,2,POSITIVE,1
159999,3,POSITIVE,1
89742,3,NEGATIVE,1
109769,11,POSITIVE,1
89749,1,NEUTRAL,1
131030,7,POSITIVE,1
119798,0,POSITIVE,1
130546,4,POSITIVE,1
177136,2,NEUTRAL,1
159955,6,NEUTRAL,1
167068,9,NEUTRAL,1
160151,1,NEGATIVE,1
99496,3,NEUTRAL,1
130599,11,NEUTRAL,1
140656,5,NEGATIVE,1
109714,3,NEUTRAL,1
176826,3,NEUTRAL,1
140547,6,NEUTRAL,1
150524,13,POSITIVE,1
110130,1,NEUTRAL,1
89966,28,NEUTRAL,1
150540,9,POSITIVE,1
150937,6,POSITIVE,1
167069,10,POSITIVE,1
176837,2,POSITIVE,1
89749,2,NEUTRAL,1
150643,7,POSITIVE,1
177096,5,NEUTRAL,1
130469,4,NEUTRAL,1
130361,3,NEUTRAL,1
167777,4,NEUTRAL,1
177404,8,NEUTRAL,1
177233,4,POSITIVE,1
140457,0,NEGATIVE,1
99411,2,POSITIVE,1
167117,1,NEUTRAL,1
159959,0,NEUTRAL,1
130564,0,NEGATIVE,1
119929,0,NEUTRAL,1
150489,0,NEUTRAL,1
89874,6,POSITIVE,1
120281,4,NEUTRAL,1
160138,1,NEUTRAL,1
150555,10,POSITIVE,1
130691,12,NEUTRAL,1
89836,2,POSITIVE,1
140549,7,NEUTRAL,1
167588,6,NEUTRAL,1
160141,1,NEUTRAL,1
176980,0,POSITIVE,1
160173,5,POSITIVE,1
140389,4,NEGATIVE,1
110294,7,POSITIVE,1
150554,4,POSITIVE,1
167835,0,POSITIVE,1
90181,2,NEUTRAL,1
131026,8,NEUTRAL,1
159959,4,NEGATIVE,1
167110,7,POSITIVE,1
130601,6,POSITIVE,1
177086,4,NEUTRAL,1
167355,1,NEUTRAL,1
167566,5,POSITIVE,1
140381,6,POSITIVE,1
90175,1,POSITIVE,1
130692,6,POSITIVE,1
110341,1,NEGATIVE,1
120323,7,NEGATIVE,1
150459,9,NEGATIVE,1
160066,5,POSITIVE,1
120605,12,NEUTRAL,1
89778,5,POSITIVE,1
167292,0,NEGATIVE,1
150497,1,NEUTRAL,1
167842,9,NEUTRAL,1
99501,0,NEUTRAL,1
109719,7,NEUTRAL,1
99472,5,NEUTRAL,1
167639,1,POSITIVE,1
160133,15,POSITIVE,1
140369,11,POSITIVE,1
150966,5,POSITIVE,1
150525,6,NEGATIVE,1
177486,4,POSITIVE,1
89954,4,POSITIVE,1
177485,2,POSITIVE,1
90211,3,NEUTRAL,0
159952,7,NEUTRAL,0
120541,5,POSITIVE,1
167880,1,NEUTRAL,0
160297,1,POSITIVE,1
131029,2,POSITIVE,1
160214,0,POSITIVE,1
120675,5,POSITIVE,1
176978,4,POSITIVE,1
109720,4,NEUTRAL,0
177281,5,POSITIVE,1
177221,2,NEGATIVE,1
176973,0,POSITIVE,1
150600,6,NEGATIVE,1
167072,7,NEUTRAL,0
130620,8,POSITIVE,1
167770,1,NEUTRAL,0
120617,0,POSITIVE,1
176837,3,NEUTRAL,0
90118,4,NEUTRAL,0
89742,0,NEUTRAL,0
90155,4,POSITIVE,1
177226,1,POSITIVE,1
119881,3,POSITIVE,1
99910,12,NEUTRAL,0
150975,5,NEUTRAL,0
177120,12,NEUTRAL,0
130374,10,POSITIVE,1
110107,0,NEGATIVE,1
120385,5,NEUTRAL,0
89897,4,NEUTRAL,0
160149,4,POSITIVE,1
150536,5,NEUTRAL,0
120493,10,POSITIVE,1
99915,0,NEUTRAL,0
90177,3,NEUTRAL,0
150264,1,NEUTRAL,0
140689,4,POSITIVE,1
99859,10,NEGATIVE,1
167117,3,NEUTRAL,0
150202,0,POSITIVE,1
177153,9,NEUTRAL,0
150459,0,NEUTRAL,0
119867,7,NEGATIVE,1
130374,3,POSITIVE,1
109719,0,POSITIVE,1
177345,2,NEGATIVE,1
140652,3,NEUTRAL,0
120328,3,NEUTRAL,0
140387,8,NEUTRAL,0
120487,7,NEUTRAL,0
89779,1,POSITIVE,1
140546,3,POSITIVE,1
159983,7,POSITIVE,1
99491,0,NEGATIVE,1
177338,4,NEGATIVE,1
167095,1,POSITIVE,1
140363,0,NEUTRAL,1
130474,4,POSITIVE,1
177452,2,NEUTRAL,1
120539,11,POSITIVE,1
99979,3,POSITIVE,1
140677,11,NEUTRAL,1
177285,10,POSITIVE,1
150267,11,NEUTRAL,1
167782,3,POSITIVE,1
167842,8,POSITIVE,1
150481,5,POSITIVE,1
150968,2,POSITIVE,1
130564,12,NEUTRAL,1
167592,5,NEGATIVE,1
99471,2,NEUTRAL,1
109716,1,NEUTRAL,1
177138,2,NEUTRAL,1
167060,8,POSITIVE,1
99904,3,NEGATIVE,1
89894,0,NEUTRAL,1
150353,1,POSITIVE,1
176831,9,NEUTRAL,1
140457,3,POSITIVE,1
130349,3,NEUTRAL,1
177331,6,NEUTRAL,1
167057,8,POSITIVE,1
89837,10,NEUTRAL,1
140692,2,POSITIVE,1
89892,4,NEUTRAL,1
99915,9,NEUTRAL,1
167205,9,NEUTRAL,1
120320,10,POSITIVE,1
177305,1,NEUTRAL,1
120388,10,NEGATIVE,1
167637,3,NEUTRAL,1
89871,5,NEGATIVE,1
177121,9,NEGATIVE,1
120611,13,POSITIVE,1
176983,4,NEUTRAL,1
120000,6,POSITIVE,1
159953,7,NEUTRAL,0
167196,9,POSITIVE,1
176916,7,NEUTRAL,0
167097,2,POSITIVE,1
140676,4,NEUTRAL,0
130567,2,POSITIVE,1
176831,1,POSITIVE,1
167112,1,NEUTRAL,0
167888,3,NEUTRAL,0
150554,1,POSITIVE,1
176840,4,NEUTRAL,0
159952,0,NEUTRAL,0
150461,0,NEUTRAL,0
159983,0,POSITIVE,1
130483,8,NEUTRAL,0
130573,4,NEUTRAL,0
177090,9,POSITIVE,1
99467,7,NEUTRAL,0
167880,9,NEUTRAL,0
99831,5,NEUTRAL,1
176973,9,POSITIVE,1
167773,7,POSITIVE,1
119866,0,POSITIVE,1
89816,2,POSITIVE,1
167072,2,NEUTRAL,1
120488,7,NEUTRAL,1
150355,7,POSITIVE,1
89886,2,NEGATIVE,1
89889,8,POSITIVE,1
120488,2,NEUTRAL,1
159958,3,POSITIVE,1
99911,8,NEUTRAL,1
159950,7,POSITIVE,1
140686,6,NEGATIVE,1
119819,5,NEUTRAL,1
99564,9,NEUTRAL,1
167096,1,POSITIVE,1
177101,5,POSITIVE,1
160222,3,POSITIVE,1
140446,14,POSITIVE,1
160135,6,POSITIVE,1
110108,8,NEUTRAL,1
150176,5,NEUTRAL,1
119927,5,POSITIVE,1
99410,9,NEGATIVE,1
150640,5,NEUTRAL,1
160299,11,POSITIVE,1
177306,3,NEUTRAL,1
120611,17,NEUTRAL,1
177298,1,NEUTRAL,1
167773,5,POSITIVE,1
89953,6,NEUTRAL,1
99557,4,POSITIVE,1
89746,2,NEUTRAL,1
140363,6,POSITIVE,1
120603,4,POSITIVE,1
167776,4,NEUTRAL,1
176840,5,POSITIVE,1
100000,0,POSITIVE,1
150203,5,NEUTRAL,1
99477,5,POSITIVE,1
109861,1,NEUTRAL,1
177394,0,NEUTRAL,1
99557,14,NEUTRAL,1
99468,14,POSITIVE,1
167925,8,POSITIVE,1
167413,5,POSITIVE,1
110108,2,POSITIVE,1
99458,4,NEUTRAL,1
167095,8,NEUTRAL,1
130432,5,NEUTRAL,1
130623,10,POSITIVE,1
110128,7,POSITIVE,1
130695,5,NEUTRAL,1
159952,2,POSITIVE,1
167927,0,POSITIVE,1
160602,5,POSITIVE,1
120276,11,NEUTRAL,1
130575,7,POSITIVE,1
130362,0,POSITIVE,1
167209,3,POSITIVE,1
176916,10,NEGATIVE,1
89737,6,NEUTRAL,1
89720,2,POSITIVE,1
160071,11,POSITIVE,1
89661,0,NEUTRAL,1
177083,6,POSITIVE,1
167640,4,POSITIVE,1
119820,7,NEUTRAL,1
140657,8,NEGATIVE,1
140634,6,POSITIVE,1
167408,5,NEGATIVE,1
150192,8,POSITIVE,1
100063,3,NEUTRAL,1
176832,2,POSITIVE,1
120307,12,NEUTRAL,1
167592,0,POSITIVE,1
150555,2,NEGATIVE,1
119997,7,NEGATIVE,1
100051,1,NEUTRAL,0
140453,1,POSITIVE,1
177057,11,POSITIVE,1
177059,6,NEUTRAL,0
177229,4,NEUTRAL,0
167583,5,POSITIVE,1
140695,4,POSITIVE,1
150600,0,POSITIVE,1
176831,6,POSITIVE,1
160071,6,POSITIVE,1
177232,1,POSITIVE,1
89894,1,NEGATIVE,1
89787,4,NEUTRAL,0
89872,8,POSITIVE,1
177065,8,NEUTRAL,0
177475,5,NEGATIVE,1
120499,6,NEUTRAL,0
140541,0,NEUTRAL,0
160218,3,NEUTRAL,0
120487,1,POSITIVE,1
130358,6,NEGATIVE,1
167887,4,POSITIVE,1
177283,0,POSITIVE,1
140363,3,NEUTRAL,0
99465,6,NEGATIVE,1
109814,0,POSITIVE,1
176982,9,NEGATIVE,1
130695,3,NEUTRAL,0
89889,13,NEGATIVE,1
150346,16,POSITIVE,1
160297,12,NEUTRAL,0
177477,1,NEGATIVE,1
120327,3,NEUTRAL,0
99474,3,NEUTRAL,0
119827,6,POSITIVE,1
130382,1,POSITIVE,1
89667,3,NEUTRAL,0
167642,7,NEGATIVE,1
110236,8,POSITIVE,1
99467,0,NEUTRAL,0
120605,5,NEUTRAL,1
90170,1,NEGATIVE,1
99566,16,NEUTRAL,1
167922,7,NEGATIVE,1
160071,10,POSITIVE,1
150181,4,POSITIVE,1
119815,7,POSITIVE,1
130703,14,NEUTRAL,1
160131,5,NEUTRAL,1
140382,5,NEUTRAL,1
120538,4,POSITIVE,1
150198,1,POSITIVE,1
120271,11,NEGATIVE,1
120499,4,POSITIVE,1
120489,11,NEUTRAL,1
176839,5,POSITIVE,1
177149,6,NEGATIVE,1
99417,4,POSITIVE,1
90183,6,NEUTRAL,1
177301,2,POSITIVE,1
150977,3,POSITIVE,1
159976,3,POSITIVE,1
130619,8,POSITIVE,1
167408,4,NEUTRAL,1
130356,8,POSITIVE,1
140662,6,NEGATIVE,1
99465,7,NEUTRAL,1
150924,7,NEUTRAL,1
176988,2,NEUTRAL,1
119930,1,POSITIVE,1
167067,4,NEUTRAL,1
150277,3,NEGATIVE,1
140687,6,NEUTRAL,1
89889,2,POSITIVE,1
167880,10,NEUTRAL,1
109763,0,POSITIVE,1
109776,1,NEUTRAL,1
167118,3,POSITIVE,1
167930,0,POSITIVE,1
150553,2,POSITIVE,1
99468,12,NEUTRAL,1
150551,3,NEUTRAL,1
160133,5,POSITIVE,1
120609,5,NEGATIVE,1
167285,9,POSITIVE,1
140657,7,NEUTRAL,1
130353,3,POSITIVE,1
167068,6,NEUTRAL,1
89889,17,POSITIVE,1
130382,6,POSITIVE,1
120499,1,NEUTRAL,1
90013,1,POSITIVE,1
159948,2,NEUTRAL,1
109803,5,POSITIVE,1
140656,2,POSITIVE,1
177391,8,NEGATIVE,1
99834,6,NEGATIVE,1
167088,6,POSITIVE,1
150188,3,NEUTRAL,1
167778,6,NEUTRAL,1
177398,3,NEUTRAL,1
177119,5,NEUTRAL,1
120505,8,POSITIVE,1
177332,1,NEUTRAL,1
159951,4,POSITIVE,1
130655,5,POSITIVE,1
150525,4,NEUTRAL,1
177150,3,POSITIVE,1
119934,0,NEUTRAL,1
177303,1,NEUTRAL,1
99555,1,NEUTRAL,1
110229,9,NEUTRAL,1
99502,2,POSITIVE,1
151028,2,POSITIVE,1
177400,7,POSITIVE,1
120386,1,POSITIVE,1
99496,4,NEGATIVE,1
90173,13,POSITIVE,1
89884,12,NEUTRAL,1
90171,4,NEUTRAL,1
150177,3,NEUTRAL,1
130610,0,NEUTRAL,1
150540,4,NEUTRAL,1
150187,3,POSITIVE,1
167841,8,NEUTRAL,1
99492,9,POSITIVE,1
150300,6,POSITIVE,1
109780,12,POSITIVE,1
167416,1,NEUTRAL,1
160132,6,NEGATIVE,1
89661,9,POSITIVE,1
167628,0,POSITIVE,1
177221,3,NEUTRAL,1
130471,13,NEUTRAL,1
90017,3,NEUTRAL,1
119884,7,POSITIVE,1
130654,5,NEUTRAL,1
177090,2,POSITIVE,1
140654,7,POSITIVE,1
99904,0,NEUTRAL,1
167928,1,POSITIVE,1
140365,4,NEUTRAL,1
176910,0,NEUTRAL,1
99461,3,NEUTRAL,1
110236,1,NEUTRAL,1
119884,4,NEUTRAL,1
167783,2,NEUTRAL,1
89887,0,NEGATIVE,1
109769,8,POSITIVE,1
120427,3,NEUTRAL,1
110117,9,NEUTRAL,1
140698,7,POSITIVE,1
159960,1,POSITIVE,1
177338,7,NEUTRAL,1
90019,5,NEGATIVE,1
150279,6,POSITIVE,1
120321,4,NEUTRAL,1
167778,10,NEUTRAL,1
120503,7,NEUTRAL,1
109777,0,POSITIVE,1
140491,8,NEUTRAL,1
177280,9,NEUTRAL,1
150942,6,POSITIVE,1
90170,2,NEGATIVE,1
110117,7,POSITIVE,1
119816,3,POSITIVE,1
89957,4,POSITIVE,1
177345,4,NEUTRAL,1
99413,10,NEUTRAL,1
130704,0,NEUTRAL,1
89833,4,NEUTRAL,1
160115,2,NEUTRAL,1
176829,0,POSITIVE,1
176977,0,NEGATIVE,1
99474,0,NEUTRAL,1
110293,4,NEUTRAL,1
167205,2,NEGATIVE,1
160134,0,NEGATIVE,1
119936,2,NEGATIVE,1
150267,5,NEUTRAL,1
177121,11,POSITIVE,1
90012,1,NEUTRAL,1
130622,9,NEUTRAL,1
99830,6,NEGATIVE,1
167770,5,NEGATIVE,1
176838,4,POSITIVE,1
130432,2,NEUTRAL,1
120610,6,NEGATIVE,1
150941,2,POSITIVE,1
130471,9,NEUTRAL,1
150341,12,POSITIVE,1
150604,3,NEUTRAL,1
110109,4,POSITIVE,1
160603,0,POSITIVE,1
160134,2,NEGATIVE,1
167880,4,NEUTRAL,1
160300,5,POSITIVE,1
176981,4,NEUTRAL,1
120277,2,POSITIVE,1
150354,1,NEUTRAL,1
167210,9,POSITIVE,1
130419,3,NEUTRAL,0
99424,5,NEUTRAL,0
130698,11,NEUTRAL,0
177279,15,POSITIVE,1
150273,9,NEGATIVE,1
150544,11,POSITIVE,1
130578,3,POSITIVE,1
150267,14,NEUTRAL,0
177080,4,POSITIVE,1
159961,4,POSITIVE,1
109722,4,POSITIVE,1
110342,10,NEGATIVE,1
151027,1,NEUTRAL,0
140446,12,POSITIVE,1
160138,3,NEUTRAL,0
177344,14,POSITIVE,1
120312,11,NEGATIVE,1
177484,0,POSITIVE,1
89876,8,NEGATIVE,1
120425,2,NEUTRAL,0
167409,4,POSITIVE,1
109808,1,NEUTRAL,0
99411,3,POSITIVE,1
130362,3,POSITIVE,1
176981,2,POSITIVE,1
150975,0,POSITIVE,1
130379,11,NEUTRAL,0
167209,6,POSITIVE,1
177146,1,NEUTRAL,0
140369,8,NEUTRAL,0
167638,1,POSITIVE,1
160603,1,POSITIVE,1
120540,7,POSITIVE,1
177058,5,POSITIVE,1
120536,7,NEGATIVE,1
167094,0,NEGATIVE,1
99461,2,POSITIVE,1
109861,3,POSITIVE,1
167209,0,POSITIVE,1
167917,6,POSITIVE,1
160301,7,NEGATIVE,1
89792,2,POSITIVE,1
110195,0,NEUTRAL,1
150479,4,POSITIVE,1
150173,10,POSITIVE,1
150348,1,POSITIVE,1
150273,2,NEUTRAL,1
89776,6,NEGATIVE,1
109803,4,NEUTRAL,1
150356,4,NEUTRAL,1
99457,5,NEUTRAL,1
110229,3,NEUTRAL,1
120489,6,NEUTRAL,1
167112,4,POSITIVE,1
167828,3,POSITIVE,1
150195,2,POSITIVE,1
119827,7,NEUTRAL,1
167293,8,NEUTRAL,1
150977,9,NEUTRAL,1
167592,2,POSITIVE,1
119877,4,POSITIVE,1
140382,0,POSITIVE,1
89718,4,NEGATIVE,1
110293,5,NEGATIVE,1
90156,6,NEUTRAL,0
140658,7,NEUTRAL,0
150552,11,NEUTRAL,0
150439,2,NEUTRAL,0
140542,7,NEUTRAL,0
150346,8,POSITIVE,1
89289,8,POSITIVE,1
149954,4,POSITIVE,1
149617,6,NEUTRAL,0
119404,10,POSITIVE,1
176479,1,NEGATIVE,1
98702,14,NEUTRAL,0
